# AC3 evidence — server-java gate (#483 v2.8)

명령: cd server-java && ./gradlew test --rerun-tasks --console=plain
결과: BUILD SUCCESSFUL in 2m 24s / 5 actionable tasks: 5 executed
집계: tests=1188 failures=0 errors=0 skipped=1

| class | tests | failures | errors |
|---|---:|---:|---:|
| online.hmb.AdminAccessSingleDecisionPointTest | 3 | 0 | 0 |
| online.hmb.AdminBootstrapTest$WhenSet | 3 | 0 | 0 |
| online.hmb.AdminBootstrapTest$WhenUnset | 1 | 0 | 0 |
| online.hmb.AdminBootstrapTest | 2 | 0 | 0 |
| online.hmb.AdminEconomyOpsTest | 7 | 0 | 0 |
| online.hmb.AdminEngineConfigTest | 13 | 0 | 0 |
| online.hmb.AdminGateTest | 9 | 0 | 0 |
| online.hmb.AdminGrowthConfigTest | 12 | 0 | 0 |
| online.hmb.AdminMailSendTest | 17 | 0 | 0 |
| online.hmb.AdminNoticeOpsTest | 20 | 0 | 0 |
| online.hmb.AdminPointsTest | 11 | 0 | 0 |
| online.hmb.AdminUnitActiveFilterTest | 8 | 0 | 0 |
| online.hmb.AdminUnitCatalogTest | 21 | 0 | 0 |
| online.hmb.AdminUnitContaminatedIdemTest | 1 | 0 | 0 |
| online.hmb.AdminUnitCreateConcurrencyTest | 2 | 0 | 0 |
| online.hmb.AdminUnitExportRoundTripTest | 1 | 0 | 0 |
| online.hmb.AdminUnitPurgeTest | 10 | 0 | 0 |
| online.hmb.AdminUsersApiTest | 7 | 0 | 0 |
| online.hmb.AiJobLeaseRecoveryTest | 3 | 0 | 0 |
| online.hmb.AiJobSupersedeTxTest | 3 | 0 | 0 |
| online.hmb.ApiRouteNotFoundTest | 3 | 0 | 0 |
| online.hmb.AuthAndModesTest | 6 | 0 | 0 |
| online.hmb.AuthProviderSwapTest | 1 | 0 | 0 |
| online.hmb.AwayBasePrefetchTest | 2 | 0 | 0 |
| online.hmb.AwayEligibilityTest | 2 | 0 | 0 |
| online.hmb.AwayGhostBaseKeyTest | 4 | 0 | 0 |
| online.hmb.AwayLoopFailurePropagationTest | 1 | 0 | 0 |
| online.hmb.AwayNoEligibleOpponentTest | 1 | 0 | 0 |
| online.hmb.AwayRaidTest | 24 | 0 | 0 |
| online.hmb.AwayRevengeTest | 25 | 0 | 0 |
| online.hmb.AwayV2Test | 24 | 0 | 0 |
| online.hmb.BaseContextKeyReproTest | 2 | 0 | 0 |
| online.hmb.BaseKeyTacticsSplitTest | 6 | 0 | 0 |
| online.hmb.CatalogCreateIdemBackstopMigrationTest | 1 | 0 | 0 |
| online.hmb.CharBundleApiTest | 20 | 0 | 0 |
| online.hmb.ConditionDailyRollTest | 8 | 0 | 0 |
| online.hmb.ConditionsTodayApiTest | 4 | 0 | 0 |
| online.hmb.CorsDefaultConfigTest | 7 | 0 | 0 |
| online.hmb.CorsEnvConfigTest | 3 | 0 | 0 |
| online.hmb.CurrencyConfigApiTest | 8 | 0 | 0 |
| online.hmb.CurrencyMetaTest | 10 | 0 | 0 |
| online.hmb.DataVersionParityTest | 4 | 0 | 0 |
| online.hmb.DeckApiTest | 15 | 0 | 0 |
| online.hmb.DeckPrewarmDisabledTest | 2 | 0 | 0 |
| online.hmb.DeckPrewarmTest | 10 | 0 | 0 |
| online.hmb.DeckReadEnsureWarmTest | 5 | 0 | 0 |
| online.hmb.DeckRequiredCodeTest | 4 | 0 | 0 |
| online.hmb.DeckTeamPromptTest | 8 | 0 | 0 |
| online.hmb.DiceBurnMigrationTest | 2 | 0 | 0 |
| online.hmb.EconomyLegacyFallbackTest | 13 | 0 | 0 |
| online.hmb.EligibilityDisabledTest | 2 | 0 | 0 |
| online.hmb.EngineConfigSnapshotTest | 12 | 0 | 0 |
| online.hmb.FirstHalfPreResolveTest | 7 | 0 | 0 |
| online.hmb.FlywayGrowthMigrationsTest | 3 | 0 | 0 |
| online.hmb.FlywayMigrationTest | 6 | 0 | 0 |
| online.hmb.FlywayV16EconomyRescaleTest | 2 | 0 | 0 |
| online.hmb.FlywayV17LegacyDataMigrationTest | 1 | 0 | 0 |
| online.hmb.FlywayV19LegacyDataMigrationTest | 1 | 0 | 0 |
| online.hmb.FlywayV2MigrationTest | 5 | 0 | 0 |
| online.hmb.FlywayV32CatalogAuditRebuildTest | 6 | 0 | 0 |
| online.hmb.FlywayV4MigrationTest | 3 | 0 | 0 |
| online.hmb.FlywayV5MigrationTest | 4 | 0 | 0 |
| online.hmb.FlywayV8LegacyDataMigrationTest | 1 | 0 | 0 |
| online.hmb.FlywayV8MigrationTest | 5 | 0 | 0 |
| online.hmb.FlywayVersionContinuityTest | 2 | 0 | 0 |
| online.hmb.GachaApiTest | 6 | 0 | 0 |
| online.hmb.GrowthApiTest | 14 | 0 | 0 |
| online.hmb.GrowthCandidateDeterminismTest | 18 | 0 | 0 |
| online.hmb.GrowthCardLevelSettlementTest | 4 | 0 | 0 |
| online.hmb.GrowthChoiceApiTest | 10 | 0 | 0 |
| online.hmb.GrowthConsumerGuardTest | 3 | 0 | 0 |
| online.hmb.GrowthHardcodeGuardTest | 3 | 0 | 0 |
| online.hmb.GrowthLegacyBackfillTest | 7 | 0 | 0 |
| online.hmb.GrowthProgressionContractTest | 6 | 0 | 0 |
| online.hmb.GrowthServiceTest | 33 | 0 | 0 |
| online.hmb.GrowthSettlementFlowTest | 1 | 0 | 0 |
| online.hmb.GrowthShippedProgressionTest | 3 | 0 | 0 |
| online.hmb.GrowthTuningLiveTest | 14 | 0 | 0 |
| online.hmb.GrowthTuningRegistryTest | 9 | 0 | 0 |
| online.hmb.HalftimeShapeTest | 15 | 0 | 0 |
| online.hmb.HalftimeTacticsTest | 10 | 0 | 0 |
| online.hmb.HomeNavBoardsTest | 14 | 0 | 0 |
| online.hmb.InactiveUnitMatchFlowTest | 1 | 0 | 0 |
| online.hmb.InternalJobApiTest | 8 | 0 | 0 |
| online.hmb.KickoffRecaptureTest | 2 | 0 | 0 |
| online.hmb.LeagueApiTest | 17 | 0 | 0 |
| online.hmb.LeagueBasePrefetchTest | 3 | 0 | 0 |
| online.hmb.LeagueDailyRewardEconomyProbeTest | 5 | 0 | 0 |
| online.hmb.LeagueDailyRewardTest | 12 | 0 | 0 |
| online.hmb.LeagueDivisionRollbackTest | 2 | 0 | 0 |
