# #492 server-java 최종 게이트 — COLD (`./gradlew test --rerun-tasks`)
# 2026-08-13T00:04:41 · feat/492-event-board · 측정 트리 HEAD=bf549b72
TOTAL classes=178 tests=1216 skipped=1 failures=0 errors=0
RESULT BUILD SUCCESSFUL in 2m 36s

## ⚠️ 이 수치가 무엇에 대한 것인가 (읽는 법)
#
# 측정 대상 = `server-java/src/**`(main + test). **문서·증빙 파일은 이 수치를 바꾸지 않는다**
# — `evidence/**` · `docs/**` · `*.md` 만 바꾼 커밋 뒤에도 위 숫자는 그대로다.
#
# 그래서 `HEAD=` 가 리포의 현재 HEAD 보다 **뒤에 있어도 스테일이 아니다**(문서 커밋이 그 사이에
# 있는 경우). 스테일 판정은 커밋 해시 일치가 아니라 아래 명령으로 한다:
#
#     git diff --stat bf549b72..HEAD -- server-java/src
#
# 출력이 비어 있으면 이 수치는 현재 코드의 것이다. 비어 있지 않으면 콜드 재실행이 필요하다.
# (AC7 패널 5R 증빙무결성 렌즈 — 헤더 갱신만으로는 다음 docs 커밋에서 같은 지적이 재발한다.)

## 전 클래스
  online.hmb.AdminAccessSingleDecisionPointTest           tests=3 skipped=0 failures=0 errors=0 time=0.198s
  online.hmb.AdminBootstrapTest                           tests=2 skipped=0 failures=0 errors=0 time=2.488s
  online.hmb.AdminBootstrapTest$WhenSet                   tests=3 skipped=0 failures=0 errors=0 time=0.177s
  online.hmb.AdminBootstrapTest$WhenUnset                 tests=1 skipped=0 failures=0 errors=0 time=0.025s
  online.hmb.AdminEconomyOpsTest                          tests=7 skipped=0 failures=0 errors=0 time=0.254s
  online.hmb.AdminEngineConfigTest                        tests=13 skipped=0 failures=0 errors=0 time=0.211s
  online.hmb.AdminEventsApiTest                           tests=4 skipped=0 failures=0 errors=0 time=0.17s
  online.hmb.AdminGateTest                                tests=9 skipped=0 failures=0 errors=0 time=0.451s
  online.hmb.AdminGrowthConfigTest                        tests=12 skipped=0 failures=0 errors=0 time=0.727s
  online.hmb.AdminMailSendTest                            tests=17 skipped=0 failures=0 errors=0 time=1.614s
  online.hmb.AdminNoticeOpsTest                           tests=20 skipped=0 failures=0 errors=0 time=0.491s
  online.hmb.AdminPointsTest                              tests=11 skipped=0 failures=0 errors=0 time=0.524s
  online.hmb.AdminUnitActiveFilterTest                    tests=8 skipped=0 failures=0 errors=0 time=0.695s
  online.hmb.AdminUnitCatalogTest                         tests=21 skipped=0 failures=0 errors=0 time=0.466s
  online.hmb.AdminUnitContaminatedIdemTest                tests=1 skipped=0 failures=0 errors=0 time=0.031s
  online.hmb.AdminUnitCreateConcurrencyTest               tests=2 skipped=0 failures=0 errors=0 time=0.069s
  online.hmb.AdminUnitExportRoundTripTest                 tests=1 skipped=0 failures=0 errors=0 time=1.364s
  online.hmb.AdminUnitPurgeTest                           tests=10 skipped=0 failures=0 errors=0 time=0.197s
  online.hmb.AdminUsersApiTest                            tests=7 skipped=0 failures=0 errors=0 time=0.125s
  online.hmb.AiJobLeaseRecoveryTest                       tests=3 skipped=0 failures=0 errors=0 time=0.272s
  online.hmb.AiJobSupersedeTxTest                         tests=3 skipped=0 failures=0 errors=0 time=0.089s
  online.hmb.AiModeConfigTest                             tests=7 skipped=0 failures=0 errors=0 time=0.085s
  online.hmb.ApiRouteNotFoundTest                         tests=3 skipped=0 failures=0 errors=0 time=0.045s
  online.hmb.AuthAndModesTest                             tests=6 skipped=0 failures=0 errors=0 time=0.053s
  online.hmb.AuthProviderSwapTest                         tests=1 skipped=0 failures=0 errors=0 time=0.014s
  online.hmb.AwayBasePrefetchTest                         tests=2 skipped=0 failures=0 errors=0 time=0.173s
  online.hmb.AwayEligibilityTest                          tests=2 skipped=0 failures=0 errors=0 time=0.077s
  online.hmb.AwayGhostBaseKeyTest                         tests=4 skipped=0 failures=0 errors=0 time=0.179s
  online.hmb.AwayLoopFailurePropagationTest               tests=1 skipped=0 failures=0 errors=0 time=0.051s
  online.hmb.AwayNoEligibleOpponentTest                   tests=1 skipped=0 failures=0 errors=0 time=0.073s
  online.hmb.AwayRaidTest                                 tests=24 skipped=0 failures=0 errors=0 time=1.418s
  online.hmb.AwayRevengeTest                              tests=25 skipped=0 failures=0 errors=0 time=0.673s
  online.hmb.AwayV2Test                                   tests=24 skipped=0 failures=0 errors=0 time=0.737s
  online.hmb.BaseContextKeyReproTest                      tests=2 skipped=0 failures=0 errors=0 time=0.001s
  online.hmb.BaseKeyTacticsSplitTest                      tests=6 skipped=0 failures=0 errors=0 time=0.171s
  online.hmb.BusinessEventFlowTest                        tests=4 skipped=0 failures=0 errors=0 time=0.426s
  online.hmb.BusinessEventHookPlacementTest               tests=3 skipped=0 failures=0 errors=0 time=0.215s
