=== HMB S1 엔진 재튜닝 — 매치 스탯 (v2) ===
meta: {"configVersion":"engine@0.26.0","seed":"4815162342","finalScore":{"home":0,"away":0}}

지표                      home      away      합/평균        벤치마크(팀)
슛(시도)                   11        14        12.5        12-16
유효슛                     2         5         3.5         4.5-5.5
세이브                     2         5         7           -
off_target              9         9         18          -
1대1 찬스                  0         0         0           ~1-3.5
골                       0         0         0           1.4-1.65
슛→코너 전환                 4         2         6           -
슛→골킥 전환                 5         7         12          -
패스 시도                   457       448       452.5       350-650
패스 성공                   379       370       -           -
패스 성공률(%)               82.9      82.6      82.8        78-85
코너                      5         7         12          ~5 (양팀~10)
스로인                     27        16        43          ~17-19
골킥                      16        13        29          -

--- 규칙(파울/오프사이드/카드/페널티/세이브) ---
파울(범함)                  4         3         7           ~22-24 (팀11-12)
오프사이드                   1         0         1           팀 ~1-3
옐로카드                    2         0         2           ~3.5-4 (팀~2)
레드카드                    0         0         0           ~0.1-0.2
페널티                     0         0         0           ~0.2-0.3
세이브(GK)                 5         2         7           -
팀 width(m)              47.4      47.4      47.4        40-50
팀 length(m)             36.9      37.4      37.2        25-40
주행거리(km/선수)             11.6      11.68     11.6        10-12

--- 변주(다이나믹) 지표 ---
평균 드리블 체인(틱)            1.4       1.3       1.4         높을수록 롱드리블↑
최대 드리블 체인(틱)            5         4         5           -
드리블 체인 수                71        72        143         -
수비 오버랩(횟수)              73        94        167         돌발성↑
수비 오버랩(player-틱)        663       820       1483        -
위치 분산(RMS m)            15.7      15.6      15.7        높을수록 로밍↑

inPlayTicks=5400 totalTicks=5400
